"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.85,2,0.8,0.65,3,19,24,134,0.9134337850167669,0.6409065615899628,0.8164,0.6506
0.85,2,0.8,0.65,4,17,25,109,0.9250398314723421,0.7625971888481325,0.8105,0.6534
0.8,2,0.8,0.65,1,12,25,160,0.912648898426731,0.7024220282562117,0.8341,0.6634
0.8,2,0.8,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.8,2,0.8,0.65,3,19,24,134,0.9134337850167669,0.6409065615899628,0.8164,0.6506
0.8,2,0.8,0.65,4,17,25,109,0.9250398314723421,0.7625971888481325,0.8105,0.6534
0.9,1,0.85,0.6,1,8,28,152,0.9221723445662006,0.7033785150137467,0.8523,0.6743
0.9,1,0.85,0.6,2,8,28,116,0.9221723445662006,0.8447258700843123,0.8523,0.6302
0.9,1,0.85,0.6,3,15,30,150,0.9297878398977649,0.6669202821647748,0.8523,0.6962
0.9,1,0.85,0.6,4,9,33,117,0.9241039604336502,0.8107555709825575,0.8562,0.6878
0.95,1,0.85,0.6,1,8,28,152,0.9221723445662006,0.7033785150137467,0.8523,0.6743
0.95,1,0.85,0.6,2,8,28,116,0.9221723445662006,0.8447258700843123,0.8523,0.6302
0.95,1,0.85,0.6,3,15,30,150,0.9297878398977649,0.6669202821647748,0.8523,0.6962
0.95,1,0.85,0.6,4,9,33,117,0.9241039604336502,0.8107555709825575,0.8562,0.6878
0.85,2,0.85,0.65,1,12,27,168,0.9107584594215791,0.7076384713906007,0.8517,0.6906
0.85,2,0.85,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.85,2,0.85,0.65,3,19,27,146,0.914236519769045,0.6538452552157984,0.8503,0.6857
0.85,2,0.85,0.65,4,19,27,119,0.914236519769045,0.7928171524393973,0.8503,0.67
0.95,2,0.85,0.65,1,12,27,168,0.9107584594215791,0.7076384713906007,0.8517,0.6906
0.95,2,0.85,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.95,2,0.85,0.65,3,16,30,152,0.9255329104104517,0.6607321486893445,0.8563,0.6998
0.95,2,0.85,0.65,4,14,31,121,0.9258250766890423,0.791066721995169,0.8507,0.6905
0.9,2,0.85,0.65,1,12,27,168,0.9107584594215791,0.7076384713906007,0.8517,0.6906
0.9,2,0.85,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.9,2,0.85,0.65,3,17,29,150,0.9170578597027477,0.6606779777935233,0.8546,0.6984
0.9,2,0.85,0.65,4,17,29,121,0.9170578597027477,0.7921920213050306,0.8546,0.6798
0.95,1,0.9,0.6,1,10,34,186,0.9277971419299568,0.686038144031223,0.9053,0.768
0.95,1,0.9,0.6,2,10,34,142,0.9277971419299568,0.8280359303868586,0.9053,0.7369
0.95,1,0.9,0.6,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.95,1,0.9,0.6,4,11,38,136,0.9272865669711421,0.8040454362011701,0.9039,0.756
