"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,2,0.8,0.65,"Dunnett",157,84.36,84.36,66.55,66.55,99.96, ,129,85.44,85.44,54.75,54.75,99.98, ,130,77.25,77.25,55.44,55.44,99.92, ,110,79.9,79.88,48.2,48.2,99.9
0.95,2,0.8,0.65,"BOP2-OC",155.91,86.41,78.74,72.66,70.21,81.41, ,126.05,84.65,75.86,62.51,60.99,77.55, ,128.46,80.46,72.84,68.97,65.85,77.68, ,108.74,81.5,73.38,63.38,61.18,77.11
0.95,2,0.8,0.65,"Dunnett",157,91.76,89.65,78.16,77.04,96.95, ,129,92.68,90.54,67.17,66.42,97.09, ,130,86.42,83.58,71.2,69.58,95.53, ,110,86.48,84.07,61.67,60.73,96.08
0.95,2,0.8,0.65,"BOP2-OC",156.2,90.54,78.4,76.81,66.08,85.71, ,126.83,91.08,78.66,74.61,64.14,83.6, ,128.74,86.43,73.15,74.04,62.49,83.96, ,109.1,88.4,73.36,75.66,62.65,82.16
0.95,2,0.8,0.65,"Dunnett",157,93.6,51,83.39,45.08,54.77, ,129,94.12,51.58,80.34,43.66,55.14, ,130,88.88,48.82,76.53,41.5,55.61, ,110,88.48,48.19,74.72,40.3,55.02
0.95,2,0.8,0.65,"BOP2-OC",156.2,90.94,78.72,69.43,59.64,85.69, ,126.83,91.03,78.64,61.13,52.62,83.62, ,128.74,86.38,73.19,67.74,57.02,83.97, ,109.1,88.09,72.97,64.65,53.18,82.19
0.95,2,0.8,0.65,"Dunnett",157,93.6,51,76.49,41.12,54.77, ,129,94.12,51.58,67.73,36.59,55.14, ,130,88.88,48.82,69.84,37.63,55.61, ,110,88.48,48.19,63.65,34.24,55.02
0.95,2,0.8,0.65,"BOP2-OC",156.66,92.62,76.33,79.67,64.38,82.86, ,128.06,93.96,76.81,79.22,63.27,81.28, ,129.55,88.8,71.41,77.68,61.33,81.47, ,109.6,90.25,71.47,78.57,60.97,79.86
0.95,2,0.8,0.65,"Dunnett",157,96.08,37.03,89.37,33.66,39, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,2,0.8,0.65,"BOP2-OC",151.58,82.06,71.22,69.52,59.55,78.23, ,118.3,77.59,68.22,64.09,55.61,72.66, ,121.63,79.92,66.03,69.19,56.17,75.7, ,105.4,82.95,67.18,71.54,56.93,75.56
0.95,2,0.8,0.65,"Dunnett",157,96.08,37.03,89.37,33.66,39, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,2,0.8,0.65,"BOP2-OC",125.56,9.8,9.8,5.18,5.18,65.83, ,94.95,9.91,9.91,5.05,5.05,57.96, ,107.92,9.47,9.47,4.74,4.73,79.56, ,84.78,9.48,9.48,5.06,5.06,71.97
0.95,2,0.8,0.65,"Dunnett",157,10.13,10.13,5.08,5.08,100, ,129,10.11,10.11,5.08,5.08,100, ,130,10.03,10.03,5.02,5.02,100, ,110,10.04,10.04,5.03,5.03,100
0.95,2,0.8,0.65,"BOP2-OC",123.49,8.96,8.96,4.71,4.71,63.58, ,91.34,8.58,8.58,4.16,4.16,53.51, ,104.29,8.61,8.61,4.39,4.39,76.19, ,83.05,8.48,8.48,4.38,4.38,70.06
0.95,2,0.8,0.65,"Dunnett",157,10.13,10.13,5.08,5.08,100, ,129,10.11,10.11,5.08,5.08,100, ,130,10.03,10.03,5.02,5.02,100, ,110,10.04,10.04,5.03,5.03,100
0.95,2,0.8,0.65,"BOP2-OC",123.46,8.82,5.47,4.52,2.8,39.23, ,90.99,8.39,5.3,4.28,2.64,33.54, ,103.5,8.11,5.34,4.18,2.74,49.49, ,82.93,8.36,5.29,4.32,2.71,44.2
0.95,2,0.8,0.65,"Dunnett",157,10.13,5.28,5.08,2.56,55.52, ,129,10.11,5.08,5.08,2.45,56.22, ,130,10.03,5.18,5.02,2.56,56.28, ,110,10.04,5.16,5.03,2.52,55.81
0.95,2,0.8,0.65,"BOP2-OC",78.94,1.3, ,1.3, ,0, ,54.53,0.9, ,0.88, ,0, ,44.6,1.58, ,1.52, ,0, ,40.23,2.07, ,1.98, ,0
0.95,2,0.8,0.65,"Dunnett",157,7.7,0,7.55,0,0, ,129,8.05,0,7.8,0,0, ,130,7.58,0,7.36,0,0, ,110,7.23,0,7,0,0
0.95,2,0.8,0.65,"BOP2-OC",156.96,94.62,94.62,83.75,83.75,99.96, ,128.88,96.06,96.06,82.87,82.87,99.86, ,129.97,90.53,90.53,80.68,80.68,99.98, ,109.94,91.57,91.57,81.1,81.1,99.94
0.95,2,0.8,0.65,"Dunnett",157,93.6,93.6,83.39,83.39,100, ,129,94.12,94.12,80.34,80.34,100, ,130,88.88,88.88,76.53,76.53,100, ,110,88.48,88.48,74.72,74.72,100
0.95,2,0.8,0.65,"BOP2-OC",156.77,93.23,93.23,80.42,80.42,99.74, ,127.97,93.67,93.67,78.5,78.5,98.72, ,129.48,88.07,88.07,76.58,76.57,99.52, ,109.64,89.39,89.39,77.22,77.22,99.61
0.95,2,0.8,0.65,"Dunnett",157,93.6,93.6,83.39,83.39,100, ,129,94.12,94.12,80.34,80.34,100, ,130,88.88,88.88,76.53,76.53,100, ,110,88.48,88.48,74.72,74.72,100
0.95,2,0.8,0.65,"BOP2-OC",152.8,83.49,83.4,65.12,65.12,90.98, ,121.11,81.12,81.01,53.43,53.43,86.4, ,124.82,76.02,75.84,61.64,61.63,87.38, ,105.5,78.15,77.96,56.23,56.22,88.11
0.95,2,0.8,0.65,"Dunnett",157,84.36,84.36,66.55,66.55,99.96, ,129,85.44,85.44,54.75,54.75,99.98, ,130,77.25,77.25,55.44,55.44,99.92, ,110,79.9,79.88,48.2,48.2,99.9
0.95,2,0.8,0.65,"BOP2-OC",155.91,86.41,78.74,72.67,70.22,81.41, ,126.05,84.66,75.87,62.52,61,77.55, ,128.46,80.46,72.84,68.97,65.85,77.68, ,108.74,81.5,73.38,63.38,61.18,77.11
0.95,2,0.8,0.65,"Dunnett",157,91.76,89.65,78.16,77.04,96.95, ,129,92.68,90.54,67.17,66.42,97.09, ,130,86.42,83.58,71.2,69.58,95.53, ,110,86.48,84.07,61.67,60.73,96.08
0.95,2,0.8,0.65,"BOP2-OC",156.2,90.89,78.4,77.12,66.08,85.71, ,126.83,91.42,78.66,74.89,64.14,83.6, ,128.74,86.43,73.15,74.04,62.49,83.96, ,109.1,88.4,73.36,75.66,62.65,82.16
0.95,2,0.8,0.65,"Dunnett",157,93.6,51,83.39,45.08,54.77, ,129,94.12,51.58,80.34,43.66,55.14, ,130,88.88,48.82,76.53,41.5,55.61, ,110,88.48,48.19,74.72,40.3,55.02
0.95,2,0.8,0.65,"BOP2-OC",156.2,91.24,78.72,69.66,59.64,85.69, ,126.83,91.33,78.64,61.3,52.62,83.62, ,128.74,86.38,73.19,67.74,57.02,83.97, ,109.1,88.09,72.97,64.65,53.18,82.19
0.95,2,0.8,0.65,"Dunnett",157,93.6,51,76.49,41.12,54.77, ,129,94.12,51.58,67.73,36.59,55.14, ,130,88.88,48.82,69.84,37.63,55.61, ,110,88.48,48.19,63.65,34.24,55.02
0.95,2,0.8,0.65,"BOP2-OC",156.66,92.72,76.33,79.76,64.38,82.86, ,128.06,94.06,76.81,79.33,63.27,81.28, ,129.55,88.8,71.41,77.68,61.33,81.47, ,109.6,90.25,71.47,78.57,60.97,79.86
0.95,2,0.8,0.65,"Dunnett",157,96.08,37.03,89.37,33.66,39, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,2,0.8,0.65,"BOP2-OC",151.58,84.02,71.36,71.39,59.66,78.23, ,118.3,79.33,68.31,65.7,55.68,72.66, ,121.63,79.92,66.03,69.19,56.17,75.7, ,105.4,82.95,67.18,71.54,56.93,75.56
0.95,2,0.8,0.65,"Dunnett",157,96.08,37.03,89.37,33.66,39, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,2,0.8,0.65,"BOP2-OC",118.2,9.71,9.71,4.96,4.96,58.2, ,94.95,9.89,9.89,5.04,5.04,57.96, ,107.92,9.47,9.47,4.74,4.73,79.56, ,84.78,9.48,9.48,5.06,5.06,71.97
0.95,2,0.8,0.65,"Dunnett",160,10.02,10.02,5.03,5.03,100, ,129,10.11,10.11,5.08,5.08,100, ,130,10.03,10.03,5.02,5.02,100, ,110,10.04,10.04,5.03,5.03,100
0.95,2,0.8,0.65,"BOP2-OC",113.4,8.36,8.36,4.32,4.32,53.41, ,91.34,8.57,8.57,4.16,4.16,53.51, ,104.29,8.61,8.61,4.39,4.39,76.19, ,83.05,8.48,8.48,4.38,4.38,70.06
0.95,2,0.8,0.65,"Dunnett",160,10.02,10.02,5.03,5.03,100, ,129,10.11,10.11,5.08,5.08,100, ,130,10.03,10.03,5.02,5.02,100, ,110,10.04,10.04,5.03,5.03,100
0.95,2,0.8,0.65,"BOP2-OC",113.08,8.48,5.35,4.28,2.68,33.42, ,90.99,8.39,5.3,4.28,2.64,33.54, ,103.5,8.11,5.34,4.18,2.74,49.49, ,82.93,8.36,5.29,4.32,2.71,44.2
0.95,2,0.8,0.65,"Dunnett",160,10.02,5.18,5.03,2.5,55.57, ,129,10.11,5.08,5.08,2.45,56.22, ,130,10.03,5.18,5.02,2.56,56.28, ,110,10.04,5.16,5.03,2.52,55.81
0.95,2,0.8,0.65,"BOP2-OC",68.37,0.69, ,0.68, ,0, ,54.53,0.72, ,0.7, ,0, ,44.6,1.58, ,1.52, ,0, ,40.23,2.07, ,1.98, ,0
0.95,2,0.8,0.65,"Dunnett",160,7.32,0,7.08,0,0, ,129,8.05,0,7.8,0,0, ,130,7.58,0,7.36,0,0, ,110,7.23,0,7,0,0
0.95,2,0.8,0.65,"BOP2-OC",159.9,95.15,95.15,84.38,84.38,99.9, ,128.88,96.06,96.06,82.87,82.87,99.86, ,129.97,90.53,90.53,80.68,80.68,99.98, ,109.94,91.57,91.57,81.1,81.1,99.94
0.95,2,0.8,0.65,"Dunnett",160,91.54,91.54,77.92,77.92,100, ,129,94.12,94.12,80.34,80.34,100, ,130,88.88,88.88,76.53,76.53,100, ,110,88.48,88.48,74.72,74.72,100
0.95,2,0.8,0.65,"BOP2-OC",158.77,92.68,92.68,79.94,79.94,98.77, ,127.97,93.67,93.67,78.5,78.5,98.72, ,129.48,88.07,88.07,76.58,76.57,99.52, ,109.64,89.39,89.39,77.22,77.22,99.61
0.95,2,0.8,0.65,"Dunnett",160,91.54,91.54,77.92,77.92,100, ,129,94.12,94.12,80.34,80.34,100, ,130,88.88,88.88,76.53,76.53,100, ,110,88.48,88.48,74.72,74.72,100
0.95,2,0.8,0.65,"BOP2-OC",150.11,80.04,79.9,63.2,63.2,86.18, ,121.11,81.12,81.01,53.43,53.43,86.4, ,124.82,76.02,75.84,61.64,61.63,87.38, ,105.5,78.15,77.96,56.23,56.22,88.11
0.95,2,0.8,0.65,"Dunnett",160,85.64,85.63,63.74,63.74,99.97, ,129,85.44,85.44,54.75,54.75,99.98, ,130,77.25,77.25,55.44,55.44,99.92, ,110,79.9,79.88,48.2,48.2,99.9
0.95,2,0.8,0.65,"BOP2-OC",156.37,84.11,75.7,70.64,67.58,78.03, ,126.05,84.65,75.86,62.51,60.99,77.55, ,128.46,80.46,72.84,68.97,65.85,77.68, ,108.74,81.5,73.38,63.38,61.18,77.11
0.95,2,0.8,0.65,"Dunnett",160,90.5,88.52,73.48,72.53,97.08, ,129,92.68,90.54,67.17,66.42,97.09, ,130,86.42,83.58,71.2,69.58,95.53, ,110,86.48,84.07,61.67,60.73,96.08
0.95,2,0.8,0.65,"BOP2-OC",157.28,89.67,77.38,76.53,65.76,83.55, ,126.83,91.08,78.66,74.61,64.14,83.6, ,128.74,86.43,73.15,74.04,62.49,83.96, ,109.1,88.4,73.36,75.66,62.65,82.16
0.95,2,0.8,0.65,"Dunnett",160,91.54,49.78,77.92,41.99,54.84, ,129,94.12,51.58,80.34,43.66,55.14, ,130,88.88,48.82,76.53,41.5,55.61, ,110,88.48,48.19,74.72,40.3,55.02
0.95,2,0.8,0.65,"BOP2-OC",157.28,89.55,77.38,68.91,59.28,83.52, ,126.83,91.03,78.64,61.13,52.62,83.62, ,128.74,86.38,73.19,67.74,57.02,83.97, ,109.1,88.09,72.97,64.65,53.18,82.19
0.95,2,0.8,0.65,"Dunnett",160,91.54,49.78,69.95,37.61,54.84, ,129,94.12,51.58,67.73,36.59,55.14, ,130,88.88,48.82,69.84,37.63,55.61, ,110,88.48,48.19,63.65,34.24,55.02
0.95,2,0.8,0.65,"BOP2-OC",158.78,92.55,75.63,80.45,64.46,81.38, ,128.06,93.96,76.81,79.22,63.27,81.28, ,129.55,88.8,71.41,77.68,61.33,81.47, ,109.6,90.25,71.47,78.57,60.97,79.86
0.95,2,0.8,0.65,"Dunnett",160,94.96,36.19,85.47,31.67,38.77, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,2,0.8,0.65,"BOP2-OC",146.06,75.43,66.59,64.39,56.14,72.19, ,118.3,77.59,68.22,64.09,55.61,72.66, ,121.63,79.92,66.03,69.19,56.17,75.7, ,105.4,82.95,67.18,71.54,56.93,75.56
0.95,2,0.8,0.65,"Dunnett",160,94.96,36.19,85.47,31.67,38.77, ,129,96.56,37,86.94,32.49,38.81, ,130,92.62,37.48,83.62,32.99,41.3, ,110,92.32,37.13,82.16,32.14,41.01
0.95,1,0.85,0.6,"BOP2-OC",137.23,10.04,10.04,5.08,5.08,86.82, ,104.49,10.13,10.13,5.16,5.16,86.3, ,143.32,10.03,10.03,5.08,5.08,94.44, ,107.82,9.84,9.84,4.95,4.95,90.72
0.95,1,0.85,0.6,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,116,10.2,10.2,5.12,5.12,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.6,"BOP2-OC",136.47,9.37,9.37,4.51,4.51,86.13, ,103.95,9.4,9.4,4.54,4.55,85.66, ,143.14,9.01,9,4.42,4.42,94.28, ,107.5,8.84,8.84,4.06,4.07,90.4
0.95,1,0.85,0.6,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,116,10.2,10.2,5.12,5.12,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.6,"BOP2-OC",135.99,9.24,6.12,4.56,3,55.73, ,103.85,9.56,6.15,4.66,2.92,55.63, ,142.63,8.65,6.14,4.13,2.86,67.97, ,106.65,9.52,6.15,4.61,3,60.7
0.95,1,0.85,0.6,"Dunnett",152,10.01,5.29,5.02,2.62,56.09, ,116,10.2,5.28,5.12,2.54,55.74, ,150,10,5.28,5.02,2.66,56.41, ,117,10.05,5.24,5.07,2.53,56.18
0.95,1,0.85,0.6,"BOP2-OC",98.28,2.66, ,2.64, ,0, ,75.71,2.65, ,2.56, ,0, ,95.6,2.96, ,2.89, ,0, ,66.76,2.42, ,2.36, ,0
0.95,1,0.85,0.6,"Dunnett",152,7.65,0,7.44,0,0, ,116,7.87,0,7.54,0,0, ,150,7.09,0,6.78,0,0, ,117,7.61,0,7.31,0,0
0.95,1,0.85,0.6,"BOP2-OC",151.97,93.84,93.84,81.87,81.87,99.97, ,115.98,94.04,94.05,78.12,78.12,99.98, ,150,92.82,92.82,83.76,83.76,100, ,116.98,92.93,92.93,81.3,81.3,99.98
0.95,1,0.85,0.6,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,116,90.32,90.32,74.15,74.15,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
0.95,1,0.85,0.6,"BOP2-OC",151.89,92.62,92.62,78.98,78.98,99.9, ,115.92,92.45,92.45,74.42,74.42,99.9, ,150,90.88,90.88,80.38,80.38,100, ,116.93,91.47,91.47,78.33,78.33,99.93
0.95,1,0.85,0.6,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,116,90.32,90.32,74.15,74.15,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
0.95,1,0.85,0.6,"BOP2-OC",149.97,78.46,78.22,61.08,61.08,85.54, ,114.33,78.08,77.87,49.5,49.5,85.46, ,149.55,81.23,81.07,66.75,66.75,90.59, ,115.39,77.59,77.42,54.34,54.34,85.74
0.95,1,0.85,0.6,"Dunnett",152,82.88,82.88,63.1,63.1,99.96, ,116,82.19,82.18,51.54,51.54,99.98, ,150,83.24,83.23,60.97,60.97,99.97, ,117,82.02,82,50.92,50.92,99.95
0.95,1,0.85,0.6,"BOP2-OC",151.53,82.03,72.53,67.9,64.76,74.95, ,115.73,81.98,72.28,57.58,56.01,74.76, ,149.98,85.8,79.2,75.26,72.74,82.86, ,116.65,82.29,73.74,63.46,61.66,76.8
0.95,1,0.85,0.6,"Dunnett",152,90.56,88.42,75.49,74.36,96.75, ,116,90.03,87.77,61.48,60.62,96.6, ,150,88.52,86.58,70.25,69.36,96.84, ,117,89.42,87.16,61.66,60.81,96.57
0.95,1,0.85,0.6,"BOP2-OC",151.68,91.09,74.09,76.79,62.17,80.84, ,115.79,91.27,74.46,72.65,58.9,81.05, ,149.97,89.73,78.61,78.15,68.19,87.94, ,116.73,90.42,74.28,77,63.16,81.96
0.95,1,0.85,0.6,"Dunnett",152,92.34,50.22,81.44,43.9,54.73, ,116,90.32,49.76,74.15,40.53,55.4, ,150,89.42,48.56,74.02,39.57,54.87, ,117,91.26,49.8,75.07,40.66,55.1
0.95,1,0.85,0.6,"BOP2-OC",151.68,91.2,74.26,69.85,56.3,80.79, ,115.79,90.96,74.28,58.86,47.55,81.01, ,149.97,89.62,78.6,71.78,62.67,87.94, ,116.72,90.46,74.37,64.84,53.01,81.94
0.95,1,0.85,0.6,"Dunnett",152,92.34,50.22,73.67,39.56,54.73, ,116,90.32,49.76,61.53,33.5,55.4, ,150,89.42,48.56,65.96,35.12,54.87, ,117,91.26,49.8,62.31,33.52,55.1
0.95,1,0.85,0.6,"BOP2-OC",151.94,92.89,72.2,80.04,60.7,78.54, ,115.87,92.64,71.67,76.37,57.21,78.24, ,149.98,90.9,76.4,80.14,66.25,85.04, ,116.92,91.74,71.61,79.51,60.59,79.09
0.95,1,0.85,0.6,"Dunnett",152,95.32,37.19,87.9,33.44,39.58, ,116,93.44,36.84,81.56,31.38,40.01, ,150,92.92,35.86,82.08,30.62,39.57, ,117,94.52,37.14,82.78,31.67,39.85
0.95,1,0.85,0.6,"BOP2-OC",150.7,84.71,68.61,72.67,57.69,75.09, ,115.05,85.05,68.88,68.83,54.42,75.09, ,149.12,87.03,73.05,76.6,63.46,81.85, ,114.74,84.37,69.2,72.25,58.28,76.2
0.95,1,0.85,0.6,"Dunnett",152,95.32,37.19,87.9,33.44,39.58, ,116,93.44,36.84,81.56,31.38,40.01, ,150,92.92,35.86,82.08,30.62,39.57, ,117,94.52,37.14,82.78,31.67,39.85
0.95,1,0.85,0.65,"BOP2-OC",137.23,10.04,10.04,5.08,5.08,86.82, ,117.65,9.79,9.79,5.17,5.17,90.72, ,143.32,10.03,10.03,5.08,5.08,94.44, ,107.82,9.84,9.84,4.95,4.95,90.72
0.95,1,0.85,0.65,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,126,10.07,10.07,5.04,5.04,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.65,"BOP2-OC",136.47,9.37,9.37,4.51,4.51,86.13, ,117.36,9.12,9.12,4.38,4.38,90.4, ,143.14,9.01,9,4.42,4.42,94.28, ,107.5,8.84,8.84,4.06,4.07,90.4
0.95,1,0.85,0.65,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,126,10.07,10.07,5.04,5.04,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.65,"BOP2-OC",135.99,9.24,6.12,4.56,3,55.73, ,116.6,9.35,5.91,4.61,2.92,60.7, ,142.63,8.65,6.14,4.13,2.86,67.97, ,106.65,9.52,6.15,4.61,3,60.7
0.95,1,0.85,0.65,"Dunnett",152,10.01,5.29,5.02,2.62,56.09, ,126,10.07,5.13,5.04,2.48,55.99, ,150,10,5.28,5.02,2.66,56.41, ,117,10.05,5.24,5.07,2.53,56.18
0.95,1,0.85,0.65,"BOP2-OC",98.28,2.66, ,2.64, ,0, ,80.33,2.04, ,2.02, ,0, ,95.6,2.96, ,2.89, ,0, ,66.76,2.42, ,2.36, ,0
0.95,1,0.85,0.65,"Dunnett",152,7.65,0,7.44,0,0, ,126,8.08,0,7.8,0,0, ,150,7.09,0,6.78,0,0, ,117,7.61,0,7.31,0,0
0.95,1,0.85,0.65,"BOP2-OC",151.97,93.84,93.84,81.87,81.87,99.97, ,125.98,93.57,93.57,80.58,80.59,99.98, ,150,92.82,92.82,83.76,83.76,100, ,116.98,92.93,92.93,81.3,81.3,99.98
0.95,1,0.85,0.65,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,126,93.39,93.39,77.96,77.96,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
0.95,1,0.85,0.65,"BOP2-OC",151.89,92.62,92.62,78.98,78.98,99.9, ,125.94,91.74,91.74,76.66,76.66,99.93, ,150,90.88,90.88,80.38,80.38,100, ,116.93,91.47,91.47,78.33,78.33,99.93
0.95,1,0.85,0.65,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,126,93.39,93.39,77.96,77.96,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
0.95,1,0.85,0.65,"BOP2-OC",149.97,78.46,78.22,61.08,61.08,85.54, ,124.53,77.79,77.66,51.76,51.76,85.74, ,149.55,81.23,81.07,66.75,66.75,90.59, ,115.39,77.59,77.42,54.34,54.34,85.74
0.95,1,0.85,0.65,"Dunnett",152,82.88,82.88,63.1,63.1,99.96, ,126,84.3,84.3,53.79,53.79,99.97, ,150,83.24,83.23,60.97,60.97,99.97, ,117,82.02,82,50.92,50.92,99.95
0.95,1,0.85,0.65,"BOP2-OC",151.53,82.03,72.53,67.9,64.76,74.95, ,125.68,82.94,74.06,61.74,60.3,76.8, ,149.98,85.8,79.2,75.26,72.74,82.86, ,116.65,82.29,73.74,63.46,61.66,76.8
0.95,1,0.85,0.65,"Dunnett",152,90.56,88.42,75.49,74.36,96.75, ,126,91.83,89.61,67.8,67.08,96.89, ,150,88.52,86.58,70.25,69.36,96.84, ,117,89.42,87.16,61.66,60.81,96.57
0.95,1,0.85,0.65,"BOP2-OC",151.68,91.09,74.09,76.79,62.17,80.84, ,125.76,90.34,74.46,75.02,61.51,81.96, ,149.97,89.73,78.61,78.15,68.19,87.94, ,116.73,90.42,74.28,77,63.16,81.96
0.95,1,0.85,0.65,"Dunnett",152,92.34,50.22,81.44,43.9,54.73, ,126,93.39,51.27,77.96,42.41,55.32, ,150,89.42,48.56,74.02,39.57,54.87, ,117,91.26,49.8,75.07,40.66,55.1
0.95,1,0.85,0.65,"BOP2-OC",151.68,91.2,74.26,69.85,56.3,80.79, ,125.75,90.23,74.41,61.64,50.41,81.94, ,149.97,89.62,78.6,71.78,62.67,87.94, ,116.72,90.46,74.37,64.84,53.01,81.94
0.95,1,0.85,0.65,"Dunnett",152,92.34,50.22,73.67,39.56,54.73, ,126,93.39,51.27,65.79,35.44,55.32, ,150,89.42,48.56,65.96,35.12,54.87, ,117,91.26,49.8,62.31,33.52,55.1
0.95,1,0.85,0.65,"BOP2-OC",151.94,92.89,72.2,80.04,60.7,78.54, ,125.93,91.88,71.78,77.9,59.3,79.09, ,149.98,90.9,76.4,80.14,66.25,85.04, ,116.92,91.74,71.61,79.51,60.59,79.09
0.95,1,0.85,0.65,"Dunnett",152,95.32,37.19,87.9,33.44,39.58, ,126,96.04,37.05,85.57,32.1,39.05, ,150,92.92,35.86,82.08,30.62,39.57, ,117,94.52,37.14,82.78,31.67,39.85
0.95,1,0.85,0.65,"BOP2-OC",150.7,84.71,68.61,72.67,57.69,75.09, ,123.95,82.79,68.92,69.25,56.62,76.2, ,149.12,87.03,73.05,76.6,63.46,81.85, ,114.74,84.37,69.2,72.25,58.28,76.2
0.95,1,0.85,0.65,"Dunnett",152,95.32,37.19,87.9,33.44,39.58, ,126,96.04,37.05,85.57,32.1,39.05, ,150,92.92,35.86,82.08,30.62,39.57, ,117,94.52,37.14,82.78,31.67,39.85
0.95,1,0.85,0.65,"BOP2-OC",137.23,10.04,10.04,5.08,5.08,86.82, ,117.65,9.79,9.79,5.17,5.17,90.72, ,143.32,10.03,10.03,5.08,5.08,94.44, ,107.82,9.84,9.84,4.95,4.95,90.72
0.95,1,0.85,0.65,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,126,10.07,10.07,5.04,5.04,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.65,"BOP2-OC",136.47,9.37,9.37,4.51,4.51,86.13, ,117.36,9.12,9.12,4.38,4.38,90.4, ,143.14,9.01,9,4.42,4.42,94.28, ,107.5,8.84,8.84,4.06,4.07,90.4
0.95,1,0.85,0.65,"Dunnett",152,10.01,10.01,5.02,5.02,100, ,126,10.07,10.07,5.04,5.04,100, ,150,10,10,5.02,5.02,100, ,117,10.05,10.05,5.07,5.07,100
0.95,1,0.85,0.65,"BOP2-OC",135.99,9.24,6.12,4.56,3,55.73, ,116.6,9.35,5.91,4.61,2.92,60.7, ,142.63,8.65,6.14,4.13,2.86,67.97, ,106.65,9.52,6.15,4.61,3,60.7
0.95,1,0.85,0.65,"Dunnett",152,10.01,5.29,5.02,2.62,56.09, ,126,10.07,5.13,5.04,2.48,55.99, ,150,10,5.28,5.02,2.66,56.41, ,117,10.05,5.24,5.07,2.53,56.18
0.95,1,0.85,0.65,"BOP2-OC",98.28,3.18, ,3.16, ,0, ,80.33,2.52, ,2.49, ,0, ,95.6,2.96, ,2.89, ,0, ,66.76,2.42, ,2.36, ,0
0.95,1,0.85,0.65,"Dunnett",152,7.65,0,7.44,0,0, ,126,8.08,0,7.8,0,0, ,150,7.09,0,6.78,0,0, ,117,7.61,0,7.31,0,0
0.95,1,0.85,0.65,"BOP2-OC",151.97,93.84,93.84,81.87,81.87,99.97, ,125.98,93.57,93.57,80.58,80.59,99.98, ,150,92.82,92.82,83.76,83.76,100, ,116.98,92.93,92.93,81.3,81.3,99.98
0.95,1,0.85,0.65,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,126,93.39,93.39,77.96,77.96,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
0.95,1,0.85,0.65,"BOP2-OC",151.89,92.62,92.62,78.98,78.98,99.9, ,125.94,91.75,91.75,76.67,76.67,99.93, ,150,90.88,90.88,80.38,80.38,100, ,116.93,91.47,91.47,78.33,78.33,99.93
0.95,1,0.85,0.65,"Dunnett",152,92.34,92.34,81.44,81.44,100, ,126,93.39,93.39,77.96,77.96,100, ,150,89.42,89.42,74.02,74.02,100, ,117,91.26,91.26,75.07,75.07,100
